Timestamp,LUX,LDR,Vo,Vi,LED
1001064,0.0,10,0.0,0.0,0
1003092,0.0,10,0.0,0.0,0
1005156,0.0,10,0.0,0.0,0
1007208,0.0,9,0.0,0.0,0
1009220,0.0,10,0.0,0.0,0
1011280,0.0,10,0.0,0.0,0
1013328,0.0,9,0.0,0.0,0
1015336,0.0,9,0.0,0.0,0
1017348,0.0,10,0.0,0.0,0
1019412,0.0,10,0.0,0.0,0
1021480,0.0,10,0.0,2.0,100
1023644,0.1,47,0.2,2.0,100
1025816,0.8,140,0.7,2.0,100
1028108,2.5,249,1.2,2.0,100
1030396,5.3,351,1.7,2.0,100
1032684,9.2,434,2.1,2.0,100
1034968,13.7,498,2.4,2.0,100
1037320,18.6,548,2.7,2.0,100
1039660,23.2,583,2.8,2.0,100
1041984,27.2,608,3.0,2.0,100
1044304,30.3,625,3.1,2.0,100
1046640,32.4,635,3.1,2.0,100
1048968,34.4,644,3.1,2.0,100
1051300,35.8,650,3.2,2.0,100
1053628,37.7,658,3.2,2.0,100
1056052,39.3,664,3.2,2.0,100
1058596,40.4,668,3.3,2.0,100
1061144,40.1,667,3.3,2.0,100
1063696,41.2,671,3.3,2.0,100
1066252,42.4,675,3.3,2.0,100
1068788,43.0,677,3.3,2.0,100
1071344,42.7,676,3.3,2.0,100
1073884,43.3,678,3.3,2.0,100
1076440,44.5,682,3.3,2.0,100
1078988,44.5,682,3.3,2.0,100
1081536,43.9,680,3.3,2.0,100
1084088,44.8,683,3.3,2.0,100
1086648,45.4,685,3.3,2.0,100
1089204,45.7,686,3.4,2.0,100
1091740,44.8,683,3.3,2.0,100
1094296,45.4,685,3.3,2.0,100
1096852,46.4,688,3.4,2.0,100
1099404,46.4,688,3.4,2.0,100
1101948,45.7,686,3.4,2.0,100
1104496,46.1,687,3.4,2.0,100
1107056,47.1,690,3.4,2.0,100
1109608,47.1,690,3.4,2.0,100
1112144,46.1,687,3.4,2.0,100
1114700,46.7,689,3.4,2.0,100
1117252,47.4,691,3.4,2.0,100
1119804,47.4,691,3.4,2.0,100
1122348,46.4,688,3.4,2.0,100
1124904,47.1,690,3.4,2.0,100
1127452,47.7,692,3.4,2.0,100
1130008,47.7,692,3.4,2.0,100
1132540,46.7,689,3.4,2.0,100
1135100,47.4,691,3.4,2.0,100
1137648,48.1,693,3.4,2.0,100
1140204,48.1,693,3.4,2.0,100
1142744,47.1,690,3.4,2.0,100
1145300,47.7,692,3.4,2.0,100
1147848,48.1,693,3.4,2.0,100
1150404,48.4,694,3.4,2.0,100
1152944,47.4,691,3.4,2.0,100
1155500,47.7,692,3.4,2.0,100
1158044,48.4,694,3.4,2.0,100
1160604,48.4,694,3.4,2.0,100
1163144,47.4,691,3.4,2.0,100
1165700,48.1,693,3.4,2.0,100
1168248,48.7,695,3.4,2.0,100
1170804,48.7,695,3.4,2.0,100
1173344,47.7,692,3.4,2.0,100
1175900,48.1,693,3.4,2.0,100
1178448,48.7,695,3.4,2.0,100
1181004,48.7,695,3.4,2.0,100
1183544,47.7,692,3.4,2.0,100
1186100,48.4,694,3.4,2.0,100
1188652,49.1,696,3.4,2.0,100
1191204,48.7,695,3.4,2.0,100
1193744,48.1,693,3.4,2.0,100
1196300,48.4,694,3.4,2.0,100
1198844,49.1,696,3.4,2.0,100
1201404,49.1,696,3.4,2.0,100
1203944,48.1,693,3.4,2.0,100
1206500,48.7,695,3.4,2.0,100
1209044,49.1,696,3.4,2.0,100
1211604,49.1,696,3.4,2.0,100
1214144,48.1,693,3.4,2.0,100
1216700,48.7,695,3.4,2.0,100
1219252,49.4,697,3.4,2.0,100
1221804,49.1,696,3.4,2.0,100
1224348,48.1,693,3.4,2.0,100
