Timestamp,LUX,LDR,Vo,Vi,LED
1001084,10.2,451,2.2,0.5,25
1003328,10.2,451,2.2,0.5,25
1005608,10.2,451,2.2,0.5,25
1007888,10.1,450,2.2,0.5,25
1010168,10.1,449,2.2,0.5,25
1012448,10.0,448,2.2,0.5,25
1014720,10.1,450,2.2,0.5,25
1017000,10.1,450,2.2,0.5,25
1019280,10.2,451,2.2,0.5,25
1021568,10.2,451,2.2,1.0,50
1023840,10.8,461,2.3,1.0,50
1026116,12.1,479,2.3,1.0,50
1028400,13.5,496,2.4,1.0,50
1030664,14.7,510,2.5,1.0,50
1032944,16.0,524,2.6,1.0,50
1035228,17.3,536,2.6,1.0,50
1037528,18.2,544,2.7,1.0,50
1039824,19.1,552,2.7,1.0,50
1042112,19.7,557,2.7,1.0,50
1044396,20.1,560,2.7,1.0,50
1046700,20.3,562,2.7,1.0,50
1048988,20.4,563,2.8,1.0,50
1051288,20.7,565,2.8,1.0,50
1053576,21.2,569,2.8,1.0,50
1055876,21.5,571,2.8,1.0,50
1058280,21.6,572,2.8,1.0,50
1060744,21.8,573,2.8,1.0,50
1063220,21.5,571,2.8,1.0,50
1065676,21.6,572,2.8,1.0,50
1068144,22.0,575,2.8,1.0,50
1070604,22.2,576,2.8,1.0,50
1073064,22.2,576,2.8,1.0,50
1075536,21.9,574,2.8,1.0,50
1077992,22.0,575,2.8,1.0,50
1080468,22.3,577,2.8,1.0,50
1082932,22.5,578,2.8,1.0,50
1085388,22.3,577,2.8,1.0,50
1087864,21.9,574,2.8,1.0,50
1090316,22.3,577,2.8,1.0,50
1092792,22.6,579,2.8,1.0,50
1095256,22.6,579,2.8,1.0,50
1097708,22.3,577,2.8,1.0,50
1100188,22.2,576,2.8,1.0,50
1102644,22.3,577,2.8,1.0,50
1105120,22.6,579,2.8,1.0,50
1107584,22.6,579,2.8,1.0,50
1110044,22.3,577,2.8,1.0,50
1112508,22.3,577,2.8,1.0,50
1114968,22.6,579,2.8,1.0,50
1117448,22.7,580,2.8,1.0,50
1119912,22.6,579,2.8,1.0,50
1122372,22.3,577,2.8,1.0,50
1124836,22.5,578,2.8,1.0,50
1127296,22.6,579,2.8,1.0,50
1129772,22.9,581,2.8,1.0,50
1132232,22.7,580,2.8,1.0,50
1134692,22.3,577,2.8,1.0,50
1137160,22.6,579,2.8,1.0,50
1139632,22.7,580,2.8,1.0,50
1142100,22.9,581,2.8,1.0,50
1144552,22.6,579,2.8,1.0,50
1147020,22.3,577,2.8,1.0,50
1149488,22.6,579,2.8,1.0,50
1151952,22.9,581,2.8,1.0,50
1154420,22.9,581,2.8,1.0,50
1156872,22.6,579,2.8,1.0,50
1159348,22.5,578,2.8,1.0,50
1161816,22.6,579,2.8,1.0,50
1164280,22.9,581,2.8,1.0,50
1166748,22.9,581,2.8,1.0,50
1169200,22.6,579,2.8,1.0,50
1171668,22.5,578,2.8,1.0,50
1174144,22.7,580,2.8,1.0,50
1176604,22.9,581,2.8,1.0,50
1179080,22.7,580,2.8,1.0,50
1181528,22.5,578,2.8,1.0,50
1184000,22.6,579,2.8,1.0,50
1186468,22.9,581,2.8,1.0,50
1188932,23.0,582,2.8,1.0,50
1191396,22.9,581,2.8,1.0,50
1193848,22.5,578,2.8,1.0,50
1196328,22.7,580,2.8,1.0,50
1198792,22.9,581,2.8,1.0,50
1201260,22.9,581,2.8,1.0,50
1203724,22.9,581,2.8,1.0,50
1206172,22.3,577,2.8,1.0,50
1208656,22.7,580,2.8,1.0,50
1211112,22.9,581,2.8,1.0,50
1213580,22.9,581,2.8,1.0,50
1216048,22.7,580,2.8,1.0,50
1218504,22.6,579,2.8,1.0,50
1220984,22.7,580,2.8,1.0,50
1223436,23.0,582,2.8,1.0,50
1225908,23.0,582,2.8,1.0,50
1228368,22.6,579,2.8,1.0,50
1230824,22.6,579,2.8,1.0,50
1233304,22.7,580,2.8,1.0,50
1235764,23.0,582,2.8,1.0,50
