Timestamp,LUX,LDR,Vo,Vi,LED
1001064,0.0,10,0.0,0.0,0
1003088,0.0,9,0.0,0.0,0
1005100,0.0,10,0.0,0.0,0
1007164,0.0,10,0.0,0.0,0
1009224,0.0,9,0.0,0.0,0
1011232,0.0,9,0.0,0.0,0
1013232,0.0,10,0.0,0.0,0
1015292,0.0,10,0.0,0.0,0
1017356,0.0,10,0.0,0.0,0
1019420,0.0,10,0.0,0.0,0
1021484,0.0,10,0.0,0.5,25
1023612,0.0,19,0.1,0.5,25
1025732,0.1,42,0.2,0.5,25
1027884,0.2,71,0.3,0.5,25
1030024,0.5,104,0.5,0.5,25
1032188,0.8,138,0.7,0.5,25
1034380,1.2,171,0.8,0.5,25
1036568,1.6,201,1.0,0.5,25
1038804,2.1,228,1.1,0.5,25
1041052,2.5,251,1.2,0.5,25
1043280,3.1,276,1.3,0.5,25
1045516,3.6,295,1.4,0.5,25
1047748,4.0,312,1.5,0.5,25
1049984,4.5,326,1.6,0.5,25
1052216,4.9,338,1.7,0.5,25
1054456,5.2,349,1.7,0.5,25
1056692,5.5,357,1.7,0.5,25
1058928,5.8,364,1.8,0.5,25
1061168,6.0,370,1.8,0.5,25
1063404,6.2,375,1.8,0.5,25
1065736,6.5,382,1.9,0.5,25
1068120,6.8,387,1.9,0.5,25
1070508,7.0,392,1.9,0.5,25
1072884,7.2,396,1.9,0.5,25
1075264,7.3,398,1.9,0.5,25
1077644,7.3,399,2.0,0.5,25
1080012,7.5,403,2.0,0.5,25
1082404,7.7,406,2.0,0.5,25
1084780,7.8,409,2.0,0.5,25
1087156,7.9,411,2.0,0.5,25
1089528,8.0,412,2.0,0.5,25
1091920,8.0,412,2.0,0.5,25
1094304,8.1,415,2.0,0.5,25
1096680,8.2,416,2.0,0.5,25
1099060,8.3,418,2.0,0.5,25
1101444,8.3,419,2.0,0.5,25
1103820,8.4,420,2.1,0.5,25
1106208,8.3,419,2.0,0.5,25
1108580,8.4,421,2.1,0.5,25
1110956,8.5,423,2.1,0.5,25
1113336,8.6,425,2.1,0.5,25
1115720,8.6,425,2.1,0.5,25
1118088,8.6,425,2.1,0.5,25
1120480,8.6,424,2.1,0.5,25
1122856,8.7,426,2.1,0.5,25
1125236,8.8,427,2.1,0.5,25
1127616,8.9,429,2.1,0.5,25
1130000,8.9,429,2.1,0.5,25
1132372,8.9,429,2.1,0.5,25
1134764,8.8,428,2.1,0.5,25
1137136,8.9,429,2.1,0.5,25
1139512,8.9,430,2.1,0.5,25
1141896,9.0,432,2.1,0.5,25
1144280,9.0,432,2.1,0.5,25
1146660,9.0,431,2.1,0.5,25
1149040,9.0,431,2.1,0.5,25
1151416,9.0,432,2.1,0.5,25
1153796,9.1,433,2.1,0.5,25
1156172,9.2,434,2.1,0.5,25
1158556,9.2,434,2.1,0.5,25
1160928,9.2,434,2.1,0.5,25
1163320,9.0,432,2.1,0.5,25
1165692,9.2,434,2.1,0.5,25
1168072,9.2,435,2.1,0.5,25
1170452,9.3,436,2.1,0.5,25
1172836,9.3,436,2.1,0.5,25
1175212,9.2,435,2.1,0.5,25
1177592,9.2,434,2.1,0.5,25
1179972,9.3,436,2.1,0.5,25
1182356,9.3,436,2.1,0.5,25
1184724,9.3,437,2.1,0.5,25
1187116,9.3,437,2.1,0.5,25
1189492,9.3,436,2.1,0.5,25
1191872,9.3,436,2.1,0.5,25
1194252,9.3,437,2.1,0.5,25
1196636,9.3,437,2.1,0.5,25
1199008,9.4,439,2.1,0.5,25
1201396,9.4,438,2.1,0.5,25
1203772,9.4,438,2.1,0.5,25
1206152,9.3,436,2.1,0.5,25
1208532,9.4,438,2.1,0.5,25
1210916,9.4,439,2.1,0.5,25
1213288,9.4,439,2.1,0.5,25
1215676,9.4,439,2.1,0.5,25
1218052,9.4,439,2.1,0.5,25
1220428,9.3,437,2.1,0.5,25
1222812,9.4,439,2.1,0.5,25
1225196,9.4,439,2.1,0.5,25
1227564,9.5,440,2.2,0.5,25
1229956,9.5,440,2.2,0.5,25
1232332,9.4,439,2.1,0.5,25
1234712,9.4,438,2.1,0.5,25
1237092,9.4,439,2.1,0.5,25
1239476,9.5,440,2.2,0.5,25
1241852,9.6,441,2.2,0.5,25
1244240,9.6,441,2.2,0.5,25
1246612,9.5,440,2.2,0.5,25
1248992,9.4,438,2.1,0.5,25
1251372,9.5,440,2.2,0.5,25
1253756,9.5,440,2.2,0.5,25
1256132,9.6,441,2.2,0.5,25
1258520,9.6,441,2.2,0.5,25
1260896,9.6,441,2.2,0.5,25
1263276,9.4,439,2.1,0.5,25
1265652,9.6,441,2.2,0.5,25
1268040,9.6,441,2.2,0.5,25
1270416,9.6,442,2.2,0.5,25
1272796,9.6,442,2.2,0.5,25
1275176,9.6,441,2.2,0.5,25
1277556,9.4,439,2.1,0.5,25
1279932,9.6,441,2.2,0.5,25
1282320,9.6,441,2.2,0.5,25
1284696,9.6,442,2.2,0.5,25
1287076,9.6,442,2.2,0.5,25
1289456,9.6,442,2.2,0.5,25
1291836,9.5,440,2.2,0.5,25
1294212,9.6,442,2.2,0.5,25
1296600,9.6,442,2.2,0.5,25
1298976,9.7,443,2.2,0.5,25
1301356,9.7,443,2.2,0.5,25
1303736,9.6,442,2.2,0.5,25
1306120,9.6,441,2.2,0.5,25
1308492,9.6,442,2.2,0.5,25
1310880,9.6,442,2.2,0.5,25
1313260,9.8,444,2.2,0.5,25
1315636,9.7,443,2.2,0.5,25
1318016,9.7,443,2.2,0.5,25
1320400,9.6,441,2.2,0.5,25
1322772,9.6,442,2.2,0.5,25
1325160,9.7,443,2.2,0.5,25
1327536,9.8,444,2.2,0.5,25
1329916,9.8,444,2.2,0.5,25
1332296,9.7,443,2.2,0.5,25
1334680,9.6,441,2.2,0.5,25
1337052,9.7,443,2.2,0.5,25
1339440,9.7,443,2.2,0.5,25
1341820,9.8,444,2.2,0.5,25
1344196,9.8,444,2.2,0.5,25
1346576,9.7,443,2.2,0.5,25
1348960,9.6,442,2.2,0.5,25
1351336,9.7,443,2.2,0.5,25
1353716,9.8,444,2.2,0.5,25
1356096,9.8,445,2.2,0.5,25
1358480,9.8,444,2.2,0.5,25
1360852,9.7,443,2.2,0.5,25
1363240,9.6,442,2.2,0.5,25
1365616,9.7,443,2.2,0.5,25
1367996,9.8,444,2.2,0.5,25
1370376,9.8,445,2.2,0.5,25
1372760,9.8,444,2.2,0.5,25
1375132,9.8,444,2.2,0.5,25
1377520,9.6,442,2.2,0.5,25
1379896,9.8,444,2.2,0.5,25
1382276,9.8,444,2.2,0.5,25
1384656,9.8,445,2.2,0.5,25
1387040,9.8,445,2.2,0.5,25
1389412,9.8,444,2.2,0.5,25
1391800,9.6,442,2.2,0.5,25
1394176,9.8,444,2.2,0.5,25
