Timestamp,LED,Vi,Vo,LUX
1087960,0,0.00000,0.02444,0.00232
1095900,0,0.00000,0.02444,0.00232
1103840,0,0.00000,0.02444,0.00232
1111784,0,0.00000,0.02444,0.00232
1119728,0,0.00000,0.02444,0.00232
1127668,0,0.00000,0.02444,0.00232
1135608,0,0.00000,0.02444,0.00232
1143552,0,0.00000,0.02444,0.00232
1151496,0,0.00000,0.02444,0.00232
1159436,0,0.00000,0.02444,0.00232
1167380,0,0.00000,0.02444,0.00232
1175320,0,0.00000,0.02444,0.00232
1183264,0,0.00000,0.02444,0.00232
1191204,0,0.00000,0.02444,0.00232
1199148,0,0.00000,0.02444,0.00232
1207088,0,0.00000,0.02444,0.00232
1215032,0,0.00000,0.02444,0.00232
1222984,0,0.00000,0.02933,0.00313
1230924,0,0.00000,0.02444,0.00232
1238864,0,0.00000,0.02444,0.00232
1246808,0,0.00000,0.02444,0.00232
1254748,0,0.00000,0.02444,0.00232
1262692,0,0.00000,0.02444,0.00232
1270632,0,0.00000,0.02444,0.00232
1278576,0,0.00000,0.02444,0.00232
1286516,0,0.00000,0.02444,0.00232
1294452,0,0.00000,0.02444,0.00232
1302392,0,0.00000,0.02444,0.00232
1310336,0,0.00000,0.02444,0.00232
1318276,0,0.00000,0.02444,0.00232
1326220,0,0.00000,0.02444,0.00232
1334160,0,0.00000,0.02444,0.00232
1342096,0,0.00000,0.02444,0.00232
1350036,0,0.00000,0.02444,0.00232
1357992,0,0.00000,0.02933,0.00313
1365928,0,0.00000,0.02444,0.00232
1373872,0,0.00000,0.02444,0.00232
1381816,0,0.00000,0.02444,0.00232
1389756,0,0.00000,0.02444,0.00232
1397696,0,0.00000,0.02444,0.00232
1405640,0,0.00000,0.02444,0.00232
1413584,0,0.00000,0.02444,0.00232
1421524,0,0.00000,0.02444,0.00232
1429464,0,0.00000,0.02444,0.00232
1437408,0,0.00000,0.02444,0.00232
1445352,0,0.00000,0.02444,0.00232
1453292,0,0.00000,0.02444,0.00232
1461232,0,0.00000,0.02444,0.00232
1469176,0,0.00000,0.02444,0.00232
1477120,0,0.00000,0.02444,0.00232
1485060,0,0.00000,0.02444,0.00232
1492996,0,0.00000,0.02444,0.00232
1500936,0,0.00000,0.02444,0.00232
1508880,0,0.00000,0.02444,0.00232
1516820,0,0.00000,0.02444,0.00232
1524764,0,0.00000,0.02444,0.00232
1532704,0,0.00000,0.02444,0.00232
1540656,0,0.00000,0.02444,0.00232
1548596,0,0.00000,0.02444,0.00232
1556540,0,0.00000,0.02444,0.00232
1564480,0,0.00000,0.02444,0.00232
1572424,0,0.00000,0.02444,0.00232
1580364,0,0.00000,0.02444,0.00232
1588308,0,0.00000,0.02444,0.00232
1596248,0,0.00000,0.02444,0.00232
1604192,0,0.00000,0.02444,0.00232
1612132,0,0.00000,0.02444,0.00232
1620076,0,0.00000,0.02444,0.00232
1628016,0,0.00000,0.02444,0.00232
1635960,0,0.00000,0.02444,0.00232
1643900,0,0.00000,0.02444,0.00232
1651836,0,0.00000,0.02444,0.00232
1659776,0,0.00000,0.02444,0.00232
1667720,0,0.00000,0.02444,0.00232
1675660,0,0.00000,0.02444,0.00232
1683604,0,0.00000,0.02444,0.00232
1691536,0,0.00000,0.02444,0.00232
1699472,0,0.00000,0.02444,0.00232
