Timestamp,LED,Vi,Vo,LUX
8607268,150,2.25000,3.96872,126.51632
8615508,150,2.25000,3.96872,126.51632
8623748,150,2.25000,3.97361,127.76107
8631988,150,2.25000,3.97361,127.76107
8640228,150,2.25000,3.97361,127.76107
8648468,150,2.25000,3.97849,129.02255
8656708,150,2.25000,3.97849,129.02255
8664948,150,2.25000,3.97849,129.02255
8673180,150,2.25000,3.96872,126.51632
8681420,150,2.25000,3.96872,126.51632
8689660,150,2.25000,3.96872,126.51632
8697908,150,2.25000,3.96872,126.51632
8706148,150,2.25000,3.96872,126.51632
8714384,150,2.25000,3.96383,125.28791
8722624,150,2.25000,3.96383,125.28791
8730864,150,2.25000,3.95894,124.07575
8739096,150,2.25000,3.96383,125.28791
8747336,150,2.25000,3.95406,122.87940
8755560,150,2.25000,3.95406,122.87940
8763788,150,2.25000,3.96872,126.51632
8772028,150,2.25000,3.96872,126.51632
8780268,150,2.25000,3.96383,125.28791
8788508,150,2.25000,3.96383,125.28791
8796748,150,2.25000,3.96872,126.51632
8804988,150,2.25000,3.96383,125.28791
8813228,150,2.25000,3.96383,125.28791
8821468,150,2.25000,3.96383,125.28791
8829708,150,2.25000,3.96383,125.28791
8837948,150,2.25000,3.97361,127.76107
8846188,150,2.25000,3.96872,126.51632
8854428,150,2.25000,3.97361,127.76107
8862668,150,2.25000,3.97361,127.76107
8870920,150,2.25000,3.97849,129.02255
8879160,150,2.25000,3.97849,129.02255
8887392,150,2.25000,3.97361,127.76107
8895636,150,2.25000,3.96872,126.51632
8903876,150,2.25000,3.96872,126.51632
8912112,150,2.25000,3.96383,125.28791
8920356,150,2.25000,3.96872,126.51632
8928596,150,2.25000,3.96872,126.51632
8936836,150,2.25000,3.96872,126.51632
8945072,150,2.25000,3.96383,125.28791
8953316,150,2.25000,3.95894,124.07575
8961548,150,2.25000,3.95406,122.87940
8969780,150,2.25000,3.95894,124.07575
8978012,150,2.25000,3.96383,125.28791
8986252,150,2.25000,3.96872,126.51632
8994492,150,2.25000,3.95894,124.07575
9002724,150,2.25000,3.96383,125.28791
9010964,150,2.25000,3.96383,125.28791
9019204,150,2.25000,3.96383,125.28791
9027444,150,2.25000,3.96383,125.28791
9035684,150,2.25000,3.96872,126.51632
9043924,150,2.25000,3.96383,125.28791
9052168,150,2.25000,3.97361,127.76107
9060400,150,2.25000,3.97361,127.76107
9068640,150,2.25000,3.97361,127.76107
9076888,150,2.25000,3.97849,129.02255
9085132,150,2.25000,3.98338,130.30113
9093376,150,2.25000,3.97849,129.02255
9101612,150,2.25000,3.96872,126.51632
